t,accuracy,loss,decision
0,0.7866,0.6546681442452817,1
1,0.7937,0.42824126421928405,0
2,0.7926,0.4335841728019714,0
3,0.7914,0.43927378103256226,0
4,0.7893,0.44665488355636596,0
5,0.7867,0.45425602682113647,0
6,0.7846,0.4607247895431519,0
7,0.7829,0.46835417625427245,0
8,0.7807,0.2682993421431088,1
9,0.8491,0.13828284953594208,0
10,0.8481,0.1443339809703827,0
11,0.8482,0.14884398735046386,0
12,0.8462,0.15337114045619965,0
13,0.8443,0.15814347427845002,0
14,0.8428,0.1630891299533844,0
15,0.8412,0.16835191820144654,0
16,0.8404,0.1734465763616562,0
17,0.839,0.179057977809906,0
18,0.8375,0.18469861034393312,0
19,0.8358,0.15070852698648676,1
20,0.8538,0.0574457000207901,0
21,0.854,0.06135479733228683,0
22,0.8534,0.06575183723211288,0
23,0.8532,0.06986781948208809,0
24,0.8539,0.07322921255350114,0
25,0.8537,0.07745097945332527,0
26,0.853,0.08044124912619591,0
27,0.8532,0.08411172656059265,0
28,0.8523,0.08738043302059173,0
29,0.8509,0.09211229775190354,0
30,0.8494,0.11174824696100887,1
31,0.8491,0.05734522473871708,0
32,0.848,0.060843456521630285,0
33,0.8482,0.06404242810964585,0
34,0.8484,0.06683805525064468,0
35,0.8481,0.06972970538556576,0
36,0.8488,0.07371199970960617,0
37,0.8476,0.0766462403768301,0
38,0.8478,0.0799553458416462,0
39,0.8478,0.08535195399883211,1
40,0.854,0.032246822308599946,0
41,0.8534,0.0351728851492703,0
42,0.8533,0.03802140309125185,0
43,0.8525,0.04094544387996197,0
44,0.8534,0.044145158393085006,0
45,0.8526,0.047008699533343315,0
46,0.8525,0.05002809870451689,0
47,0.8515,0.07241182664190146,1
48,0.8533,0.026541624414883554,0
49,0.8532,0.029481480376794933,0
50,0.8523,0.031802774193435905,0
51,0.8522,0.03502445533454418,0
52,0.8521,0.03816574461758137,0
53,0.8522,0.041096685733795164,0
54,0.8517,0.04397222520962357,0
55,0.8508,0.047156047680526975,0
56,0.8496,0.04892756861776114,0
57,0.8482,0.051882611394524575,0
58,0.8478,0.05426791522204876,0
59,0.8466,0.0562761637532711,0
60,0.8467,0.058920903564095496,0
61,0.8457,0.061590275398492815,0
62,0.845,0.0646544911569357,0
63,0.8444,0.06734193691603839,0
64,0.8437,0.06996942031800747,0
65,0.8429,0.07658167736500006,1
66,0.8508,0.02927905096709728,0
67,0.8494,0.0326193726798892,0
68,0.8482,0.03587524144232273,0
69,0.8474,0.04020247861802578,0
70,0.8463,0.04300748374044895,0
71,0.8464,0.045630857206285,0
72,0.8466,0.04820278365492821,0
73,0.8461,0.052063362627029416,0
74,0.8468,0.054745439973175526,0
75,0.8464,0.05907967807739973,0
76,0.8454,0.06908588060666151,1
77,0.8428,0.030663687912598252,0
78,0.8427,0.034897321765422824,0
79,0.8419,0.05502273328733318,1
80,0.8417,0.03951011599689722,0
81,0.8408,0.04471796534046531,0
82,0.8407,0.04902037208169699,0
83,0.8401,0.053844160649701954,0
84,0.839,0.05802233932554722,0
