t,accuracy,loss,decision
0,0.829,0.6172153376023788,True
1,0.8211,0.33640268664360046,False
2,0.8211,0.3367161218929291,False
3,0.8209,0.33700286479949954,False
4,0.8205,0.3374038446521759,False
5,0.8206,0.3377077628755569,False
6,0.8204,0.3381225766468048,False
7,0.8202,0.33832800405502317,False
8,0.8199,0.33873229351997375,False
9,0.8198,0.33911008238792417,False
10,0.8198,0.339441767539978,False
11,0.8199,0.33956114730834963,False
12,0.8198,0.3397121406173706,False
13,0.8198,0.3399344483757019,False
14,0.8199,0.34023219484329226,False
15,0.8197,0.3405436278915405,False
16,0.8194,0.340717477388382,False
17,0.8195,0.34096109559059146,False
18,0.8197,0.3413298958969116,False
19,0.8197,0.3417951701068878,False
20,0.8198,0.3421767282676697,False
21,0.8195,0.3425666436958313,False
22,0.8195,0.3429915783786774,False
23,0.8194,0.3434602280139923,False
24,0.8194,0.3438215023136139,False
25,0.8194,0.34420070622444154,False
26,0.8192,0.3445010315513611,False
27,0.8195,0.2347454193264932,True
28,0.8487,0.16332783940792084,False
29,0.8488,0.16347393471240998,False
30,0.8488,0.16353041772842408,False
31,0.8488,0.1637795811319351,False
32,0.8486,0.16389575125694275,False
33,0.8486,0.12205405932281861,True
34,0.8525,0.10688217244625091,False
35,0.8523,0.10759846063613891,False
36,0.8523,0.10783515459537506,False
37,0.8522,0.10809003294467925,False
38,0.8521,0.08423269229995854,True
39,0.8531,0.08275494489789009,False
40,0.8531,0.06605904291245772,True
41,0.8707,0.029112140977829694,False
42,0.8707,0.029197183990702032,False
43,0.8709,0.029279830057173967,False
44,0.8709,0.029365650753621013,False
45,0.8709,0.05280647091487127,True
46,0.8731,0.01689091749429703,False
47,0.8733,0.01685494206700474,False
48,0.8733,0.01696324697509408,False
49,0.873,0.017004176016226412,False
50,0.8729,0.017073190679773687,False
51,0.873,0.01706342234954238,False
52,0.8728,0.017090535025149584,False
53,0.873,0.017152354743778707,False
54,0.8729,0.017215111843943597,False
55,0.8726,0.017361725532189013,False
56,0.8729,0.017523689577579497,False
57,0.8729,0.017596558589935304,False
58,0.8729,0.017622282064929603,False
59,0.8727,0.01767472314275801,False
60,0.8726,0.01785582309745252,False
61,0.8727,0.01804779104612768,False
62,0.8727,0.018050986135900022,False
63,0.8726,0.01813597383596003,False
64,0.8729,0.018326035975515843,False
65,0.8729,0.018360647529698907,False
66,0.8728,0.018413365383818745,False
67,0.8727,0.01851924427732825,False
68,0.8729,0.018614314027074724,False
69,0.8729,0.01873940420821309,False
70,0.8728,0.01892103661812842,False
71,0.8727,0.01911986791141331,False
72,0.8726,0.019252025586664678,False
73,0.8724,0.04998230276497729,True
74,0.8631,0.03191858419179917,False
75,0.8628,0.04232148773697428,True
76,0.8738,0.016909643230624497,False
77,0.8737,0.01693041412608698,False
78,0.8736,0.017014044251702727,False
79,0.8737,0.017017872124128045,False
80,0.8735,0.017334828780926764,False
81,0.8735,0.017572145340815186,False
82,0.8737,0.01765406630013138,False
83,0.8736,0.017690369962928817,False
84,0.8735,0.01791924336878583,False
85,0.8735,0.018052877500094475,False
86,0.8735,0.018108821844290943,False
87,0.8733,0.018295866004694253,False
88,0.873,0.01838035252317786,False
89,0.8729,0.018461384909674524,False
90,0.8729,0.018472549391388895,False
91,0.8729,0.018572445159330965,False
92,0.8732,0.018771497640237212,False
93,0.8731,0.018696570825064554,False
94,0.873,0.03868453879459568,True
95,0.8783,0.010299750681677834,False
96,0.8782,0.010328725402150303,False
97,0.8781,0.010373213662048802,False
98,0.8782,0.010376299502570182,False
99,0.8782,0.010408878294918687,False
100,0.8781,0.010487218456985428,False
101,0.8781,0.03941658173649124,True
102,0.8792,0.008462613989538513,False
103,0.8792,0.008545287133785896,False
104,0.8793,0.008633864646302536,False
105,0.8794,0.00872649072642438,False
106,0.8792,0.008745655736871995,False
107,0.879,0.008735607710485347,False
108,0.8791,0.008735270983227529,False
109,0.8788,0.008821144236670807,False
110,0.8789,0.008852834183527157,False
111,0.8787,0.00888562372488901,False
112,0.8786,0.008928512708377093,False
113,0.8783,0.00895205841750838,False
114,0.878,0.008982648330964148,False
115,0.8781,0.009037061800691299,False
116,0.8779,0.009076593561074696,False
117,0.878,0.009128560608099214,False
118,0.8779,0.009233249860266224,False
119,0.8776,0.009222610828639007,False
120,0.8776,0.009384354554377496,False
121,0.8777,0.00940442983167246,False
122,0.8776,0.009495547231249511,False
