Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8752, Test accuracy: 0.8242
Round 0: Accuracy = 0.8228, Loss = 0.3966, Decision = 0
Round 1: Accuracy = 0.8214, Loss = 0.4039, Decision = 0
Round 2: Accuracy = 0.8198, Loss = 0.4118, Decision = 0
Round 3: Accuracy = 0.8179, Loss = 0.4191, Decision = 0
Round 4: Accuracy = 0.8169, Loss = 0.4262, Decision = 0
Round 5: Accuracy = 0.8157, Loss = 0.4332, Decision = 0
Round 6: Accuracy = 0.8148, Loss = 0.4402, Decision = 0
Round 7: Accuracy = 0.8132, Loss = 0.4473, Decision = 0
Round 8: Accuracy = 0.8115, Loss = 0.4551, Decision = 0
Round 9: Accuracy = 0.8103, Loss = 0.4626, Decision = 0
Round 10: Accuracy = 0.8092, Loss = 0.4705, Decision = 0
Round 11: Accuracy = 0.8076, Loss = 0.4776, Decision = 0
Round 12: Accuracy = 0.8069, Loss = 0.4846, Decision = 0
Round 13: Accuracy = 0.8055, Loss = 0.4913, Decision = 0
Round 14: Accuracy = 0.8044, Loss = 0.4985, Decision = 0
Round 15: Accuracy = 0.8029, Loss = 0.5041, Decision = 0
Round 16: Accuracy = 0.8015, Loss = 0.5114, Decision = 0
Round 17: Accuracy = 0.7999, Loss = 0.5175, Decision = 0
Round 18: Accuracy = 0.7980, Loss = 0.5236, Decision = 0
Round 19: Accuracy = 0.7967, Loss = 0.5312, Decision = 0
Round 20: Accuracy = 0.7959, Loss = 0.5393, Decision = 0
Round 21: Accuracy = 0.7945, Loss = 0.5460, Decision = 0
Round 22: Accuracy = 0.7931, Loss = 0.5515, Decision = 0
Round 23: Accuracy = 0.7916, Loss = 0.5592, Decision = 0
Round 24: Accuracy = 0.7896, Loss = 0.5655, Decision = 0
Round 25: Accuracy = 0.7887, Loss = 0.5724, Decision = 0
Round 26: Accuracy = 0.7869, Loss = 0.5771, Decision = 0
Round 27: Accuracy = 0.7851, Loss = 0.5833, Decision = 0
Round 28: Accuracy = 0.7840, Loss = 0.5895, Decision = 0
Round 29: Accuracy = 0.7833, Loss = 0.5959, Decision = 0
Round 30: Accuracy = 0.7821, Loss = 0.6023, Decision = 0
