Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8832, Test accuracy: 0.8322
Round 0: Accuracy = 0.8311, Loss = 0.3758, Decision = 0
Round 1: Accuracy = 0.8297, Loss = 0.3811, Decision = 0
/home/apiasecz/.conda/envs/cog_fl_llm_env/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 1/5, Loss: 1.1727
Epoch 2/5, Loss: 0.7236
Epoch 3/5, Loss: 0.5609
Epoch 4/5, Loss: 0.4628
Epoch 5/5, Loss: 0.3939
Round 2: Accuracy = 0.8288, Loss = 0.6628, Decision = 1
Round 3: Accuracy = 0.8311, Loss = 0.3248, Decision = 0
Round 4: Accuracy = 0.8308, Loss = 0.3256, Decision = 0
Round 5: Accuracy = 0.8305, Loss = 0.3262, Decision = 0
Round 6: Accuracy = 0.8301, Loss = 0.3268, Decision = 0
Round 7: Accuracy = 0.8306, Loss = 0.3273, Decision = 0
Round 8: Accuracy = 0.8306, Loss = 0.3281, Decision = 0
Round 9: Accuracy = 0.8308, Loss = 0.3289, Decision = 0
Round 10: Accuracy = 0.8303, Loss = 0.3298, Decision = 0
Round 11: Accuracy = 0.8300, Loss = 0.3309, Decision = 0
Round 12: Accuracy = 0.8300, Loss = 0.3316, Decision = 0
Round 13: Accuracy = 0.8294, Loss = 0.3324, Decision = 0
Round 14: Accuracy = 0.8291, Loss = 0.3334, Decision = 0
Round 15: Accuracy = 0.8292, Loss = 0.3343, Decision = 0
Round 16: Accuracy = 0.8288, Loss = 0.3352, Decision = 0
Round 17: Accuracy = 0.8290, Loss = 0.3362, Decision = 0
Round 18: Accuracy = 0.8290, Loss = 0.3373, Decision = 0
Round 19: Accuracy = 0.8291, Loss = 0.3387, Decision = 0
Round 20: Accuracy = 0.8294, Loss = 0.3399, Decision = 0
Round 21: Accuracy = 0.8291, Loss = 0.3408, Decision = 0
Round 22: Accuracy = 0.8288, Loss = 0.3420, Decision = 0
Round 23: Accuracy = 0.8284, Loss = 0.3435, Decision = 0
Round 24: Accuracy = 0.8282, Loss = 0.3447, Decision = 0
Round 25: Accuracy = 0.8285, Loss = 0.3460, Decision = 0
Round 26: Accuracy = 0.8283, Loss = 0.3477, Decision = 0
Round 27: Accuracy = 0.8276, Loss = 0.3490, Decision = 0
Round 28: Accuracy = 0.8276, Loss = 0.3500, Decision = 0
Round 29: Accuracy = 0.8273, Loss = 0.3510, Decision = 0
Round 30: Accuracy = 0.8272, Loss = 0.3525, Decision = 0
Round 31: Accuracy = 0.8271, Loss = 0.3543, Decision = 0
Round 32: Accuracy = 0.8265, Loss = 0.3557, Decision = 0
Round 33: Accuracy = 0.8267, Loss = 0.3572, Decision = 0
Round 34: Accuracy = 0.8261, Loss = 0.3589, Decision = 0
Round 35: Accuracy = 0.8257, Loss = 0.3604, Decision = 0
Round 36: Accuracy = 0.8246, Loss = 0.3617, Decision = 0
Round 37: Accuracy = 0.8240, Loss = 0.3630, Decision = 0
Round 38: Accuracy = 0.8223, Loss = 0.3648, Decision = 0
Round 39: Accuracy = 0.8218, Loss = 0.3665, Decision = 0
Round 40: Accuracy = 0.8215, Loss = 0.3683, Decision = 0
Round 41: Accuracy = 0.8212, Loss = 0.3704, Decision = 0
Round 42: Accuracy = 0.8202, Loss = 0.3723, Decision = 0
Round 43: Accuracy = 0.8196, Loss = 0.3743, Decision = 0
Round 44: Accuracy = 0.8187, Loss = 0.3764, Decision = 0
Round 45: Accuracy = 0.8182, Loss = 0.3785, Decision = 0
Round 46: Accuracy = 0.8177, Loss = 0.3809, Decision = 0
Round 47: Accuracy = 0.8178, Loss = 0.3830, Decision = 0
Round 48: Accuracy = 0.8168, Loss = 0.3854, Decision = 0
Round 49: Accuracy = 0.8172, Loss = 0.3873, Decision = 0
Round 50: Accuracy = 0.8168, Loss = 0.3896, Decision = 0
Round 51: Accuracy = 0.8156, Loss = 0.3922, Decision = 0
Round 52: Accuracy = 0.8152, Loss = 0.3946, Decision = 0
Round 53: Accuracy = 0.8146, Loss = 0.3970, Decision = 0
Round 54: Accuracy = 0.8139, Loss = 0.3991, Decision = 0
Round 55: Accuracy = 0.8133, Loss = 0.4014, Decision = 0
Round 56: Accuracy = 0.8126, Loss = 0.4036, Decision = 0
Round 57: Accuracy = 0.8126, Loss = 0.4062, Decision = 0
Round 58: Accuracy = 0.8117, Loss = 0.4093, Decision = 0
Round 59: Accuracy = 0.8110, Loss = 0.4125, Decision = 0
Round 60: Accuracy = 0.8104, Loss = 0.4150, Decision = 0
Round 61: Accuracy = 0.8092, Loss = 0.4179, Decision = 0
Round 62: Accuracy = 0.8086, Loss = 0.4209, Decision = 0
Round 63: Accuracy = 0.8085, Loss = 0.4238, Decision = 0
Round 64: Accuracy = 0.8079, Loss = 0.4267, Decision = 0
Round 65: Accuracy = 0.8069, Loss = 0.4294, Decision = 0
Round 66: Accuracy = 0.8066, Loss = 0.4322, Decision = 0
Round 67: Accuracy = 0.8064, Loss = 0.4354, Decision = 0
Round 68: Accuracy = 0.8057, Loss = 0.4385, Decision = 0
Round 69: Accuracy = 0.8048, Loss = 0.4418, Decision = 0
Epoch 1/5, Loss: 0.3571
Epoch 2/5, Loss: 0.3021
Epoch 3/5, Loss: 0.2534
Epoch 4/5, Loss: 0.2168
Epoch 5/5, Loss: 0.1987
Round 70: Accuracy = 0.8045, Loss = 0.2656, Decision = 1
Round 71: Accuracy = 0.8460, Loss = 0.1738, Decision = 0
Round 72: Accuracy = 0.8458, Loss = 0.1752, Decision = 0
Round 73: Accuracy = 0.8452, Loss = 0.1766, Decision = 0
Round 74: Accuracy = 0.8445, Loss = 0.1783, Decision = 0
Round 75: Accuracy = 0.8442, Loss = 0.1798, Decision = 0
Round 76: Accuracy = 0.8441, Loss = 0.1814, Decision = 0
Round 77: Accuracy = 0.8437, Loss = 0.1835, Decision = 0
Round 78: Accuracy = 0.8430, Loss = 0.1851, Decision = 0
Round 79: Accuracy = 0.8425, Loss = 0.1866, Decision = 0
Round 80: Accuracy = 0.8422, Loss = 0.1883, Decision = 0
Round 81: Accuracy = 0.8412, Loss = 0.1899, Decision = 0
Round 82: Accuracy = 0.8409, Loss = 0.1920, Decision = 0
